2026-03-17 19:41:17,827 INFO    MainThread:7506 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_setup.py:_flush():81] Configure stats pid to 7506
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/lua/jax-gbdt/wandb/run-20260317_194117-5ndv075p/logs/debug.log
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/lua/jax-gbdt/wandb/run-20260317_194117-5ndv075p/logs/debug-internal.log
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_init.py:init():844] calling init triggers
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'project_name': 'jax-gbdt', 'experiment_name': 'baseline_xgboost_model', 'dataset': {'name': 'california_housing', 'num_samples': 20640, 'random_state': 42}, 'xgb_params': {'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 5, 'objective': 'reg:squarederror', 'tree_method': 'hist', 'random_state': 42}, 'wandb': {'enabled': True, 'mode': 'online'}, '_wandb': {}}
2026-03-17 19:41:17,828 INFO    MainThread:7506 [wandb_init.py:init():892] starting backend
2026-03-17 19:41:19,521 INFO    MainThread:7506 [wandb_init.py:init():895] sending inform_init request
2026-03-17 19:41:19,549 INFO    MainThread:7506 [wandb_init.py:init():903] backend started and connected
2026-03-17 19:41:19,551 INFO    MainThread:7506 [wandb_init.py:init():973] updated telemetry
2026-03-17 19:41:19,552 INFO    MainThread:7506 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-17 19:41:21,889 INFO    MainThread:7506 [wandb_init.py:init():1042] starting run threads in backend
2026-03-17 19:41:21,947 INFO    MainThread:7506 [wandb_run.py:_console_start():2524] atexit reg
2026-03-17 19:41:21,947 INFO    MainThread:7506 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-17 19:41:21,947 INFO    MainThread:7506 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-17 19:41:21,947 INFO    MainThread:7506 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-17 19:41:21,949 INFO    MainThread:7506 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-17 19:41:24,247 INFO    wandb-AsyncioManager-main:7506 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-17 19:41:24,247 INFO    wandb-AsyncioManager-main:7506 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
